,JobTitle,Company,Location,PostDate,JobUrl
91,Vice President - Portfolio Risk(Wealth Management Risk  ...,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/vice-president-portfolio-riskwealth-management-risk-division-permanent/morgan-stanley-advantage-services-pvt-ltd/12716226
92,Actuarial Techno Functional Manager,PricewaterhouseCoopers (PWC),Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/actuarial-techno-functional-manager-permanent/pricewaterhousecoopers-pwc/12700445
93,DART - Quant Analytics Associate Sr,JPMorgan,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/dart-quant-analytics-associate-sr-permanent/jpmorgan/12716128
94,Payment Lifecycle Analyst- Team Leader,JPMorgan,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/payment-lifecycle-analyst-team-leader-permanent/jpmorgan/12716121
95,Firewall Architecture Security Architect,Accenture,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/firewall-architecture-security-architect-permanent/accenture/12707380
96,Country Manager - Customer Care,Mahindra business & consulting serv...,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/country-manager-customer-care-permanent/mahindra-business-consulting-services-p-ltd/12716263
97,Manager - Sales & Corporate Access Support EMEA,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/manager-sales-corporate-access-support-emea-permanent/morgan-stanley-advantage-services-pvt-ltd/12716240
98,Big Data Analyst  _chennai,BOYEN HADDIN CONSULTING AND TECHNOL...,Mumbai City,2 weeks ago,https://www.shine.com//jobs/big-data-analyst-chennai-permanent/boyen-haddin-consulting-and-technology-private-limited/12696841
99,Data Engineer vacancy,Kavya Staffing Solutions,Navi Mumbai,1 month ago,https://www.shine.com//jobs/data-engineer-vacancy-permanent/kavya-staffing-solutions/12677901
100,Data Engineer vacancy,Kavya Staffing Solutions,Mumbai City,1 month ago,https://www.shine.com//jobs/data-engineer-vacancy-permanent/kavya-staffing-solutions/12677870
101,Drug Safety Physician,TECHNO ENDURA,Mumbai City,1 week ago,https://www.shine.com//jobs/drug-safety-physician-permanent/techno-endura/12710059
102,"Data Science Manager, GenAI - Open Reqs",Amazon,Mumbai City,"Premium
              

               1 month ago",https://www.shine.com//jobs/data-science-manager-genai-open-reqs-permanent/amazon/12669027
103,Data Engineer,Alphacom Systems and Solutions Pvt ...,Mumbai City,3 weeks ago,https://www.shine.com//jobs/data-engineer-permanent/alphacom-systems-and-solutions-pvt-ltd/12687864
104,SENIOR DATA SCIENTIST ( DEEP LEARNING/ NLP),Augusta Infotech,Mumbai City,7 days ago,https://www.shine.com//jobs/senior-data-scientist-deep-learning-nlp-permanent/augusta-infotech/12500814/
105,"Data Scientist - (BERT, NLP), Kubeflow (or) ML Ops",GFL RECRUITMENT PRIVATE LIMITED,Mumbai City,2 months ago,https://www.shine.com//jobs/data-scientist-bert-nlp-kubeflow-or-ml-ops-permanent/gfl-recruitment-private-limited/12533223/
106,Hiring For Data Engineer,Kavya Staffing Solutions,Mumbai City,1 month ago,https://www.shine.com//jobs/hiring-for-data-engineer-permanent/kavya-staffing-solutions/12675827
107,"Account Executive 4, Direct Sales",Dell,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/account-executive-4-direct-sales-permanent/dell/12712471
108,SAP PP Production Planning & Control Process Industries ...,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/sap-pp-production-planning-control-process-industries-programproject-management-lead-permanent/accenture/12711215
109,Salesforce Lightning Web Components Application Develop ...,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/salesforce-lightning-web-components-application-developer-permanent/accenture/12711212
110,Palo Alto ICS/SCADA Security Application Developer,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/palo-alto-icsscada-security-application-developer-permanent/accenture/12711147
111,Data Bricks Data Engineer,Nustar Technologies India Private L...,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-bricks-data-engineer-permanent/nustar-technologies-india-private-limited/12695517
112,Oracle Procedural Language Extensions to SQL (PLSQL) Ap ...,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/oracle-procedural-language-extensions-to-sql-plsql-application-developer-permanent/accenture/12711083
113,Microsoft Windows Server Administration Infra Tech Supp ...,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/microsoft-windows-server-administration-infra-tech-support-practitioner-permanent/accenture/12711063
114,Payments Operations Regulatory Reporting- Associate,JPMorgan,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/payments-operations-regulatory-reporting-associate-permanent/jpmorgan/12702496
115,Senior Data Engineer,CORPORATE STEPS..,Mumbai City,1 month ago,https://www.shine.com//jobs/senior-data-engineer-permanent/corporate-steps/12667109
116,Data Entry  Associate  Mumbai,Manish Enterprises.,Mumbai City,3 weeks ago,https://www.shine.com//jobs/data-entry-associate-mumbai-permanent/manish-enterprises/12689625
117,Senior System Analyst - PMO,The Walt Disney Company,Mumbai City,"Premium
              

               1 month ago",https://www.shine.com//jobs/senior-system-analyst-pmo-permanent/the-walt-disney-company/12678543
118,Microsoft Dynamics 365 ERP Technical Application Develo ...,Accenture,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/microsoft-dynamics-erp-technical-application-developer-permanent/accenture/12701487
119,Google BigQuery Application Lead,Accenture,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/google-bigquery-application-lead-permanent/accenture/12701451
120,Qlik Sense Analytics and Modeling Lead,Accenture,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/qlik-sense-analytics-and-modeling-lead-permanent/accenture/12701315
121,Microsoft Robotic Process Automation Application Develo ...,Accenture,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/microsoft-robotic-process-automation-application-developer-permanent/accenture/12701323
122,Oracle Hyperion Financial Management (HFM) Application  ...,Accenture,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/oracle-hyperion-financial-management-hfm-application-developer-permanent/accenture/12701374
123,Vice President - Credit Risk Modeling(Risk Analytics),Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/vice-president-credit-risk-modelingrisk-analytics-permanent/morgan-stanley-advantage-services-pvt-ltd/12696553
124,Data Entry Part Time Typist -Maharashtra,UR INFOTECH,Navi Mumbai,3 weeks ago,https://www.shine.com//jobs/data-entry-part-time-typist-job-maharashtra-work-from-home/ur-infotech/12689131
125,Data Entry Part Time Typist -Mumbai,UR INFOTECH,Navi Mumbai,3 weeks ago,https://www.shine.com//jobs/data-entry-part-time-typist-job-mumbai-work-from-home/ur-infotech/12689120
126,Associate-Model Risk (Risk Management),Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/associate-model-risk-risk-management-permanent/morgan-stanley-advantage-services-pvt-ltd/12696551
127,Clinical Data Management,TECHNO ENDURA,Mumbai City,1 week ago,https://www.shine.com//jobs/clinical-data-management-permanent/techno-endura/12707045
128,Data Engineer Vacancy,AKSHITA INTERPRISES,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-engineer-vacancy-permanent/akshita-interprises/12701223
129,Senior Manager Java Developer_Technology_Mumbai,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/senior-manager-java-developer-technology-mumbai-permanent/morgan-stanley-advantage-services-pvt-ltd/12708823
130,Associate,PricewaterhouseCoopers (PWC),Mumbai City,"Premium
              

               2 weeks ago",https://www.shine.com//jobs/associate-permanent/pricewaterhousecoopers-pwc/12700460
131,SAP Master Data Governance for Financial Data (MDG-F To ...,Accenture,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/sap-master-data-governance-for-financial-data-mdg-f-tool-application-developer-permanent/accenture/12707482
132,Director Python Developer/RAPD(Risk Analytics Platform  ...,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/director-python-developerrapdrisk-analytics-platform-delivery-risk-analytics-division-permanent/morgan-stanley-advantage-services-pvt-ltd/12708824
133,Operations Research Science Manager (Workforce Planning ...,JPMorgan,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/operations-research-science-manager-workforce-planning-permanent/jpmorgan/12708700
134,Data Engineer,NINA S HR CONSULTANCY,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-engineer-permanent/nina-s-hr-consultancy/12699056
135,Social Media Data Analytics and Strategy,Acme Services Private Limited,Mumbai City,2 weeks ago,https://www.shine.com//jobs/social-media-data-analytics-and-strategy-permanent/acme-services-private-limited/12699168
136,Data Analyst,Acme Services Private Limited Hirin...,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-analyst-permanent/acme-services-private-limited/12699079
137,Data Analyst,Acme Services Private Limited Hirin...,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-analyst-work-from-home/acme-services-private-limited/12699014
138,Associate -Reporting & Analytics(Wealth Management Risk ...,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               3 weeks ago",https://www.shine.com//jobs/associate-reporting-analyticswealth-management-risk-permanent/morgan-stanley-advantage-services-pvt-ltd/12692313
139,Associate Quality Analyst,Fiserv India Pvt. Ltd.,Thane,"Premium
              

               1 week ago",https://www.shine.com//jobs/associate-quality-analyst-permanent/fiserv-india-pvt-ltd/12707701
